stefy
ID	proteína	bacteria	pvalue	log2FoldChange
SEQF1078_00060	Elongation factor Tu	Fusobacterium nucleatum	0.000112352	6E+09
SEQF1160_00952	Elongation factor Tu	Fusobacterium periodonticum	0.000112352	6E+09
SEQF2067_00702	Elongation factor Tu	Fusobacterium nucleatum	0.000112352	6E+09
SEQF2555_02146	Elongation factor Tu	Fusobacterium periodonticum	0.000112352	6E+09
SEQF2821_00166	Elongation factor Tu	Fusobacterium nucleatum	0.000112352	6E+09
SEQF2822_01176	Elongation factor Tu	Fusobacterium nucleatum	0.000112352	6E+09
SEQF2840_00853	Elongation factor Tu	Fusobacterium hwasookii	0.000112352	6E+09
SEQF2841_01759	Elongation factor Tu	Fusobacterium hwasookii	0.000112352	6E+09
SEQF2842_00813	Elongation factor Tu	Fusobacterium hwasookii	0.000112352	6E+09
SEQF2843_02155	Elongation factor Tu	Fusobacterium hwasookii	0.000112352	6E+09
SEQF1075_01512	Enolase	Fusobacterium nucleatum	0.000286024	4E+09
SEQF2813_00293	Enolase	Fusobacterium nucleatum	0.000286024	4E+09
SEQF2818_01213	Acetyl-CoA acetyltransferase	Fusobacterium nucleatum	0.000369379	6E+09
SEQF2840_01191	Acetyl-CoA acetyltransferase	Fusobacterium hwasookii	0.000369379	6E+09
SEQF2841_01417	Acetyl-CoA acetyltransferase	Fusobacterium hwasookii	0.000369379	6E+09
SEQF2842_01106	Acetyl-CoA acetyltransferase	Fusobacterium hwasookii	0.000369379	6E+09
SEQF2843_00380	Acetyl-CoA acetyltransferase	Fusobacterium hwasookii	0.000369379	6E+09
SEQF2980_01908	Acetyl-CoA acetyltransferase	Fusobacterium nucleatum	0.000369379	6E+09
SEQF2406_02116	D-galactose-binding periplasmic protein	Fusobacterium periodonticum	0.000834595	6E+09
SEQF2555_02118	NAD-specific glutamate dehydrogenase	Fusobacterium periodonticum	0.00087424	5E+09
SEQF2985_01335	Elongation factor Tu	Fusobacterium sp.	0.000996178	5E+09
SEQF2818_00093	Enolase	Fusobacterium nucleatum	0.001080355	6E+09
SEQF2819_00168	Enolase	Fusobacterium nucleatum	0.001080355	6E+09
SEQF2820_00158	Enolase	Fusobacterium nucleatum	0.001080355	6E+09
SEQF2896_00337	Enolase	Fusobacterium sp.	0.001080355	6E+09
SEQF2980_01976	Enolase	Fusobacterium nucleatum	0.001080355	6E+09
SEQF3181_00005	Enolase	Fusobacterium sp.	0.001080355	6E+09
SEQF1879_01789	Elongation factor Tu	Fusobacterium sp.	0.001232495	5E+09
SEQF2896_00146	Elongation factor Tu	Fusobacterium sp.	0.003132477	5E+09
SEQF1025_02508	Thymidine phosphorylase	Mesorhizobium	0.003410762	5E+09
SEQF1087_00283	Thymidine phosphorylase	Agrobacterium tumefaciens biovar II	0.003410762	5E+09
SEQF1167_00132	Thymidine phosphorylase	Agrobacterium tumefaciens	0.003410762	5E+09
SEQF2035_02216	Thymidine phosphorylase	Agrobacterium tumefaciens	0.003410762	5E+09
SEQF2321_02987	Thymidine phosphorylase	Agrobacterium tumefaciens	0.003410762	5E+09
SEQF2322_01642	Thymidine phosphorylase	Agrobacterium tumefaciens	0.003410762	5E+09
SEQF2482_04617	Thymidine phosphorylase	Agrobacterium tumefaciens	0.003410762	5E+09
SEQF2763_04481	Thymidine phosphorylase	Mesorhizobium	0.003410762	5E+09
SEQF2764_04828	Thymidine phosphorylase	Mesorhizobium	0.003410762	5E+09
SEQF3148_03774	Thymidine phosphorylase	Bosea vestrisii	0.003410762	5E+09
SEQF3646_01602	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3647_01597	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3648_00741	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3649_01899	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3650_01896	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3651_01442	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3652_01691	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3653_00954	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3654_00827	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3655_00762	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3656_00470	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3657_00760	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3658_01105	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3659_01688	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3660_00816	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3661_00743	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3662_01644	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3663_00844	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3664_00717	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3665_00715	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3666_00706	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
SEQF3668_00862	Pyrimidine-nucleoside phosphorylase	Streptococcus mitis	0.003410762	5E+09
