"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","peptidase inhibitor activity","GO:0030414","true","1.4958765162941898e-31","30.82510425573992","172","246","36","20139","C3,A2M,SERPINA1,AHSG,A2ML1,SERPINB5,SERPINB3,KNG1,ITIH1,SERPINC1,SERPINB4,ITIH4,SPINK5,AMBP,ITIH2,SERPINB1,SERPINA3,C5,CAST,HRG,SERPINF1,CD109,SERPINB13,SERPIND1,CSTA,TIMP1,AGT,SPINT1,BIN1,SERPINF2,SERPINA7,CST3,PI16,ITIH3,SERPINB6,TIMP2"
"GO:MF","endopeptidase inhibitor activity","GO:0004866","false","7.805028279039649e-31","30.10762551907067","165","246","35","20139","C3,A2M,SERPINA1,AHSG,A2ML1,SERPINB5,SERPINB3,KNG1,ITIH1,SERPINC1,SERPINB4,ITIH4,SPINK5,AMBP,ITIH2,SERPINB1,SERPINA3,C5,CAST,HRG,SERPINF1,CD109,SERPINB13,SERPIND1,CSTA,TIMP1,AGT,SPINT1,BIN1,SERPINF2,SERPINA7,CST3,ITIH3,SERPINB6,TIMP2"
"GO:MF","endopeptidase regulator activity","GO:0061135","false","1.0562411910996747e-30","29.976236899980954","181","246","36","20139","C3,A2M,SERPINA1,AHSG,A2ML1,SERPINB5,SERPINB3,KNG1,ITIH1,SERPINC1,SERPINB4,ITIH4,SPINK5,AMBP,ITIH2,SERPINB1,SERPINA3,C5,CAST,HRG,SERPINF1,CD109,SERPINB13,SERPIND1,CSTA,TIMP1,AGT,SPINT1,BIN1,SERPINF2,SERPINA7,CST3,ITIH3,SERPINB6,SFRP2,TIMP2"
"GO:MF","peptidase regulator activity","GO:0061134","false","8.778824446509859e-30","29.056563635640007","224","246","38","20139","C3,A2M,SERPINA1,AHSG,A2ML1,SERPINB5,SERPINB3,KNG1,ITIH1,SERPINC1,SERPINB4,ITIH4,SPINK5,AMBP,ITIH2,SERPINB1,SERPINA3,C5,CAST,HRG,SERPINF1,CD109,SERPINB13,SERPIND1,PCOLCE,CSTA,TIMP1,AGT,SPINT1,BIN1,SERPINF2,SERPINA7,CST3,PI16,ITIH3,SERPINB6,SFRP2,TIMP2"
"GO:MF","serine-type endopeptidase inhibitor activity","GO:0004867","false","1.9132042043173394e-23","22.7182386734253","100","246","25","20139","A2M,SERPINA1,A2ML1,SERPINB5,SERPINB3,ITIH1,SERPINC1,SERPINB4,ITIH4,SPINK5,AMBP,ITIH2,SERPINB1,SERPINA3,HRG,SERPINF1,CD109,SERPINB13,SERPIND1,AGT,SPINT1,SERPINF2,SERPINA7,ITIH3,SERPINB6"
"GO:MF","enzyme inhibitor activity","GO:0004857","false","1.2499313846031143e-21","20.90311382707686","393","246","39","20139","C3,A2M,SERPINA1,AHSG,A2ML1,SERPINB5,SERPINB3,KNG1,ITIH1,SERPINC1,SERPINB4,ITIH4,SPINK5,AMBP,ITIH2,APOA2,SERPINB1,SERPINA3,C5,CAST,HRG,SERPINF1,CD109,SERPINB13,SERPIND1,CSTA,TIMP1,AGT,SPINT1,BIN1,SERPINF2,SERPINA7,CST3,PI16,ITIH3,SERPINB6,PPP1R14B,TIMP2,APOC3"
"GO:MF","molecular function inhibitor activity","GO:0140678","false","6.236039190429795e-20","19.205091164148058","521","246","42","20139","C3,A2M,SERPINA1,AHSG,A2ML1,SERPINB5,SERPINB3,KNG1,ITIH1,SERPINC1,SERPINB4,ITIH4,SPINK5,AMBP,ITIH2,APOA2,SERPINB1,SERPINA3,C5,CAST,HRG,ADH7,SERPINF1,CD109,SERPINB13,SERPIND1,CSTA,TIMP1,AGT,SPINT1,BIN1,SERPINF2,SERPINA7,CST3,PI16,ITIH3,SERPINB6,PHPT1,PPP1R14B,TIMP2,APOC3,NOLC1"
"GO:MF","protease binding","GO:0002020","true","3.0853075966760513e-13","12.510701531507666","142","246","20","20139","A2M,SERPINA1,SERPINB3,SERPINC1,SERPINB4,ECM1,COL3A1,VWF,SERPINB13,COMP,CSTA,TIMP1,COL1A2,BIN1,SELL,SERPINF2,CST3,SERPINB6,LDLR,TIMP2"
"GO:MF","glycosaminoglycan binding","GO:0005539","true","1.2114298252587368e-11","10.916701738262416","242","246","23","20139","APOB,CFH,TNXB,APOH,KNG1,ITIH1,SERPINC1,ITIH2,F2,SOD3,DCN,PGLYRP2,HRG,THBS4,ABI3BP,COMP,SERPIND1,CLEC3B,PCOLCE,LTBP4,LTBP2,SELL,PTPRF"
"GO:MF","enzyme regulator activity","GO:0030234","false","1.4000025780796919e-11","10.85387116457551","1319","246","52","20139","C3,A2M,SERPINA1,AHSG,A2ML1,APOA1,GSTP1,APOH,SERPINB5,SERPINB3,KNG1,ITIH1,SERPINC1,SERPINB4,ITIH4,SPINK5,AMBP,ITIH2,APOA2,SERPINB1,SERPINA3,C5,CAST,HRG,SERPINF1,CD109,SERPINB13,SERPIND1,PCOLCE,CSTA,TIMP1,AGT,SPINT1,BIN1,CPN2,SERPINF2,SERPINA7,CST3,PTPA,PI16,ITIH3,CDC37,SERPINB6,SFRP2,ADIPOQ,PPP2R2A,ARHGAP1,PAK2,EFNB1,PPP1R14B,TIMP2,APOC3"
"GO:MF","extracellular matrix structural constituent","GO:0005201","true","9.864744646850799e-10","9.005914152165358","167","246","18","20139","TNXB,LUM,ECM1,DCN,COL3A1,VWF,ABI3BP,COMP,PCOLCE,LTBP4,COL1A2,LTBP2,COL18A1,SPARC,OGN,CILP,ADIPOQ,MXRA5"
"GO:MF","heparin binding","GO:0008201","false","1.8057603196027568e-9","8.743339894543968","173","246","18","20139","APOB,CFH,TNXB,APOH,KNG1,SERPINC1,F2,SOD3,HRG,THBS4,ABI3BP,COMP,SERPIND1,CLEC3B,PCOLCE,LTBP2,SELL,PTPRF"
"GO:MF","actin binding","GO:0003779","true","1.7840644383537263e-8","7.748589463459871","444","246","26","20139","MYH2,ACTN2,MYH1,MYH7,ALDOA,MYH8,FLNC,GC,MYH3,TPM1,MYBPC1,TNNC1,TNNC2,SPTB,SPTA1,PDLIM5,BIN1,TWF2,PDLIM3,TNNI1,PDLIM1,TWF1,ARPC1A,ADD1,PHPT1,MYLK"
