"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","protein binding","GO:0005515","true","3.6955229713227295e-13","12.432324093808203","14811","173","167","20139","MYH9,KRT14,KRT6A,KRT6B,KRT5,KRT6C,KRT16,KRT17,LTF,COL12A1,TNC,KRT19,FBN1,POSTN,MPO,KRT8,SOD2,MYH11,PDIA4,PPIB,LMNB1,ATP5F1B,COL6A2,HSPD1,LAMP1,ATP1A1,TAGLN,GLUD1,EGFR,LAMA3,CANX,PRKDC,LAMB1,GANAB,GLG1,AGRN,TGM1,COPB2,COL7A1,NID1,PRDX3,UGGT1,MYOF,ANXA3,ATP5F1A,TFRC,HSPA9,SLC3A2,STOM,RPN1,CTSG,COPA,CKAP4,AIFM1,ITGB1,CORO1A,PKP1,PSMD2,SERPINH1,COPG1,NDRG1,MZB1,ELANE,CCT2,TPR,HEXB,DLST,HSPE1,ATP2A2,PAFAH1B1,TCP1,MYDGF,HLA-C,COPB1,SND1,MMP9,ANXA7,HLA-A,NID2,IGF2R,MANF,PSMB9,LAMA5,PTPRC,RPN2,CCT7,OGDH,RAB2A,GPNMB,SSBP1,HNRNPR,SLC2A1,PRMT1,EHD1,HNRNPH1,UQCRC1,PFKP,SLC25A3,PSMB10,HNRNPL,LMAN2,SEC31A,MTHFD1,THBS2,HLA-DRA,DDX17,S100A12,RAP1B,ARCN1,DDOST,PSAT1,S100P,PRTN3,EIF2S1,ACOT7,PPP3CA,RPS16,CYBB,ARG1,RPL3,PCYOX1,PXDN,ATP1B3,NAPA,RPL4,PSMD12,ECHS1,FERMT3,RPL7A,PARP1,RPL14,NUCB2,SNRPD2,ADA,PSMC2,RPS18,TSNAX,PSMC5,EFHD2,PLAUR,MACF1,TPP2,DERA,RALA,SUCLG1,PSMD6,DPYD,CAMK2D,SCP2,FAM83H,OAT,RUVBL2,PCNA,RHOG,FARSB,PSME3,RPS26,SFPQ,LIN7C,DYSF,SURF4,TARDBP,CAPRIN1,EML4,PFDN5,PRCP,SNRPF"
"GO:MF","structural molecule activity","GO:0005198","true","3.054672378051581e-12","11.515035362192055","1102","173","40","20139","KRT14,KRT6A,KRT6B,KRT5,KRT6C,KRT16,KRT17,COL12A1,TNC,KRT19,FBN1,POSTN,MYH11,LMNB1,COL6A2,LAMA3,LAMB1,AGRN,COPB2,COL7A1,LAMC2,NID1,COPA,PKP1,COPG1,TPR,COPB1,NID2,LAMA5,SEC31A,THBS2,RPS16,RPL3,PXDN,RPL4,RPL7A,RPL14,RPS18,MACF1,RPS26"
"GO:MF","protein-containing complex binding","GO:0044877","false","2.8209179455122838e-9","8.549609546361298","1761","173","46","20139","MYH9,KRT14,FBN1,MPO,KRT8,MYH11,PPIB,COL6A2,HSPD1,EGFR,NID1,TFRC,ITGB1,CORO1A,PKP1,SERPINH1,TPR,PAFAH1B1,SND1,MMP9,ANXA7,HLA-A,NID2,IGF2R,LAMA5,PTPRC,GPNMB,SSBP1,UQCRC1,PFKP,SLC25A3,HLA-DRA,DDX17,RAP1B,EIF2S1,PPP3CA,NAPA,FERMT3,PARP1,SNRPD2,TSNAX,MACF1,FAM83H,RUVBL2,PCNA,SFPQ"
"GO:MF","extracellular matrix structural constituent","GO:0005201","false","1.0604181636565157e-8","7.9745228419458885","167","173","15","20139","COL12A1,TNC,FBN1,POSTN,COL6A2,LAMA3,LAMB1,AGRN,COL7A1,LAMC2,NID1,NID2,LAMA5,THBS2,PXDN"
"GO:MF","unfolded protein binding","GO:0051082","false","1.4028936435071562e-7","6.852975252555957","111","173","12","20139","PPIB,HSPD1,CANX,UGGT1,HSPA9,SERPINH1,CCT2,HSPE1,TCP1,CCT7,RUVBL2,PFDN5"
"GO:MF","sulfur compound binding","GO:1901681","false","0.0000010843478485199131","5.964831377890397","270","173","16","20139","LTF,FBN1,POSTN,MPO,AGRN,LAMC2,CTSG,ELANE,PAFAH1B1,PTPRC,OGDH,GPNMB,PRMT1,THBS2,ACOT7,SCP2"
"GO:MF","carbohydrate derivative binding","GO:0097367","false","0.000005574085515299167","5.253826372806485","2294","173","47","20139","MYH9,LTF,TNC,FBN1,POSTN,MPO,MYH11,ATP5F1B,HSPD1,ATP1A1,GLUD1,EGFR,PRKDC,AGRN,LAMC2,NID1,ATP5F1A,HSPA9,CTSG,AIFM1,ELANE,CCT2,HSPE1,ATP2A2,PAFAH1B1,TCP1,MANF,PTPRC,CCT7,RAB2A,GPNMB,EHD1,PFKP,MTHFD1,THBS2,DDX17,RAP1B,ACOT7,PSMC2,PSMC5,RALA,CAMK2D,SCP2,RUVBL2,RHOG,FARSB,CAPRIN1"
"GO:MF","cell adhesion molecule binding","GO:0050839","false","0.000010376569862534675","4.9839461855980005","559","173","21","20139","MYH9,FBN1,POSTN,EGFR,SLC3A2,ITGB1,PKP1,NDRG1,SND1,ANXA7,LAMA5,GPNMB,EHD1,PFKP,S100P,FERMT3,RPL7A,RPL14,EFHD2,MACF1,RPS26"
"GO:MF","cadherin binding","GO:0045296","false","0.00014546837509564166","3.83723141227458","335","173","15","20139","MYH9,EGFR,SLC3A2,ITGB1,PKP1,NDRG1,SND1,EHD1,PFKP,S100P,RPL7A,RPL14,EFHD2,MACF1,RPS26"
"GO:MF","heparin binding","GO:0008201","false","0.00020886678611476976","3.6801306158067377","173","173","11","20139","LTF,FBN1,POSTN,MPO,LAMC2,CTSG,ELANE,PAFAH1B1,PTPRC,GPNMB,THBS2"
