locus_tag	ftype	length_bp	gene	EC_number	COG	product
SEQF10000.1_00001	CDS	1314				hypothetical protein
SEQF10000.1_00002	CDS	1560	carA_1	2.8.3.23	COG4670	Caffeate CoA-transferase
SEQF10000.1_00003	CDS	786		4.2.1.150	COG1024	Crotonyl-CoA hydratase
SEQF10000.1_00004	CDS	456	phaJ_1	4.2.1.119	COG2030	(R)-specific enoyl-CoA hydratase
SEQF10000.1_00005	CDS	1038	carE_1	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
SEQF10000.1_00006	CDS	801	carD_1	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
SEQF10000.1_00007	CDS	1137	acrC	1.3.1.95		Acryloyl-CoA reductase (NADH)
SEQF10000.1_00008	CDS	1209	fldA_1	2.8.3.17		Cinnamoyl-CoA:phenyllactate CoA-transferase
SEQF10000.1_00009	CDS	1323				hypothetical protein
SEQF10000.1_00010	CDS	789	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
SEQF10000.1_00011	CDS	1407	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
SEQF10000.1_00012	CDS	1542	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
SEQF10000.1_00013	CDS	903	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
SEQF10000.1_00014	CDS	285	citD		COG3052	Citrate lyase acyl carrier protein
SEQF10000.1_00015	CDS	1119	gcdB_1	7.2.4.5	COG1883	Glutaconyl-CoA decarboxylase subunit beta
SEQF10000.1_00016	CDS	366				hypothetical protein
SEQF10000.1_00017	CDS	336				hypothetical protein
SEQF10000.1_00018	CDS	1392	oadA	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
SEQF10000.1_00019	CDS	1350	citS		COG3493	Citrate-sodium symporter
SEQF10000.1_00020	CDS	654	rspR		COG1802	HTH-type transcriptional repressor RspR
SEQF10000.1_00021	CDS	480	eco		COG4574	Ecotin
SEQF10000.1_00022	CDS	345				hypothetical protein
SEQF10000.1_00023	CDS	1317		1.18.1.2		Ferredoxin--NADP reductase
SEQF10000.1_00024	CDS	1434	lhgD	1.1.5.-		L-2-hydroxyglutarate dehydrogenase
SEQF10000.1_00025	CDS	1500	glpK	2.7.1.30	COG0554	Glycerol kinase
SEQF10000.1_00026	CDS	750	glpF		COG0580	Glycerol uptake facilitator protein
SEQF10000.1_00027	CDS	405	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
SEQF10000.1_00028	CDS	612	dhaL-2	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase 2, ADP-binding subunit DhaL
SEQF10000.1_00029	CDS	987	dhaK	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
SEQF10000.1_00030	CDS	561	ygcP		COG1954	putative protein YgcP
SEQF10000.1_00031	CDS	555	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
SEQF10000.1_00032	CDS	846	ttdA	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
SEQF10000.1_00033	CDS	1239	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
SEQF10000.1_00034	CDS	552	pal_1			Peptidoglycan-associated lipoprotein
SEQF10000.1_00035	CDS	1155				hypothetical protein
SEQF10000.1_00036	CDS	798		5.4.3.3	COG5012	Lysine 5,6-aminomutase beta subunit
SEQF10000.1_00037	CDS	1566		5.4.3.3		Lysine 5,6-aminomutase alpha subunit
SEQF10000.1_00038	CDS	1419	mutS2_1	3.1.-.-		Endonuclease MutS2
SEQF10000.1_00039	CDS	1083				hypothetical protein
SEQF10000.1_00040	CDS	1260	kamA	5.4.3.2	COG1509	L-lysine 2,3-aminomutase
SEQF10000.1_00041	CDS	1038	kdd	1.4.1.11		L-erythro-3,5-diaminohexanoate dehydrogenase
SEQF10000.1_00042	CDS	816	kce	2.3.1.247	COG3246	3-keto-5-aminohexanoate cleavage enzyme
SEQF10000.1_00043	CDS	384	kal	4.3.1.14		3-aminobutyryl-CoA ammonia lyase
SEQF10000.1_00044	misc_RNA	185				Lysine
SEQF10000.1_00045	CDS	285				hypothetical protein
SEQF10000.1_00046	CDS	123				hypothetical protein
SEQF10000.1_00047	CDS	276	ihfA			Integration host factor subunit alpha
SEQF10000.1_00048	CDS	801	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
SEQF10000.1_00049	CDS	339		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
SEQF10000.1_00050	CDS	444	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
SEQF10000.1_00051	CDS	486	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
SEQF10000.1_00052	CDS	582				hypothetical protein
SEQF10000.1_00053	CDS	1302				hypothetical protein
SEQF10000.1_00054	CDS	474				hypothetical protein
SEQF10000.1_00055	CDS	609	ynbA		COG0558	Inner membrane protein YnbA
SEQF10000.1_00056	CDS	936				hypothetical protein
SEQF10000.1_00057	CDS	618				hypothetical protein
SEQF10000.1_00058	CDS	672				hypothetical protein
SEQF10000.1_00059	CDS	486				hypothetical protein
SEQF10000.1_00060	CDS	423				hypothetical protein
SEQF10000.1_00061	CDS	576				hypothetical protein
SEQF10000.1_00062	CDS	453				hypothetical protein
SEQF10000.1_00063	CDS	363				hypothetical protein
SEQF10000.1_00064	CDS	558				hypothetical protein
SEQF10000.1_00065	CDS	453				hypothetical protein
SEQF10000.1_00066	CDS	354				hypothetical protein
SEQF10000.1_00067	CDS	1026	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
SEQF10000.1_00068	CDS	504				hypothetical protein
SEQF10000.1_00069	CDS	228				hypothetical protein
SEQF10000.1_00070	CDS	339				hypothetical protein
SEQF10000.1_00071	CDS	324				hypothetical protein
SEQF10000.1_00072	CDS	246				hypothetical protein
SEQF10000.1_00073	CDS	1059				hypothetical protein
SEQF10000.1_00074	CDS	804	hisK	3.1.3.15	COG1387	Histidinol-phosphatase
SEQF10000.1_00075	CDS	2406	cdr	1.8.1.14		Coenzyme A disulfide reductase
SEQF10000.1_00076	CDS	303	bigR		COG0640	Biofilm growth-associated repressor
SEQF10000.1_00077	CDS	1434	alsT_1		COG1115	Amino-acid carrier protein AlsT
SEQF10000.1_00078	CDS	1461	cobQ_1		COG1492	Cobyric acid synthase
SEQF10000.1_00079	CDS	984	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
